"Ranking","Product Title","Product Category","Rating","Review Date","Helpful Votes","Has Image","Verified Purchase","Review Title","Review Text"
"25","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","3","Reviewed in the United States on November 22, 2022","One","False","True","Super comfortable but cheaply made","I have had the pull over for just about a month and the brown cuffs one the sleeves are already pulled off and the stitching on the arms is all frayed. I use the jacket maybe 2 days a week. Not enough for it to be completely falling apart like it is. It’s upsetting because of how comfy it reall is"
"26","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on May 8, 2023","0","False","True","Great gift","Gave this for a Christmas gift. Receiptant liked it and wore several times."
"27","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 7, 2023","0","False","True","Warm up your days!","This was purchased as a gift and I was very pleased with not only the fabric and the fit, but the price was amazing too!"
"28","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on November 27, 2022","One","False","True","great quality and fit !","Super excited to give this to my boyfriend for Christmas. Super soft, seems like it’s good quality and he’s going to look super handsome in it !"
"29","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 9, 2022","0","False","True","Very comfortable","The fleece pullover was what I was looking for and fit great. Warm, durable and stylish."
"30","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 8, 2023","0","False","True","Soft and true to size","My husband loves this pullover. It’s super soft and lightweight and still looks nice."
"31","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 5, 2023","0","False","True","So good I bought another","This pullover is fantastic. It’s heavy and well-made and a steel at only $15."
"32","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on February 11, 2022","0","False","True","Nice pullover, but fits at least two sizes too small..........","fit is way too small"
"33","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on February 28, 2022","One","False","True","This is great!!","This is warm, fits me perfectly, looks great, and matches virtually all my other clothes. It's warm and comfortable inside and all the way to the car outside. A great buy!!"
"34","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on February 23, 2023","4","False","True","I loved it, but it did not last.","I got several compliment on this cute Patagonia looking dupe.
But by the 2nd wash (and I dont put in the dryer, just hand wash cycle and hang to dry) the cute little cuff detail completely detached leaving an unfinished seam at my wrist.

I got it super cheap so, not mad...but it should not tear up that quickly :("
"35","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 30, 2022","0","False","True","Good quality pullover","Got this for my boyfriend for Christmas and he loves it. The details are great and it’s great for the price. Probably will end up buying another"
"36","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on June 7, 2022","0","False","True","Looks and feel","Fits pretty good and warm nice for the winter and fall."
"37","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on March 16, 2023","3","False","True","Falling apart after a few washes.","I have worn this pullover four or five times. The tan material sewn to the hem of the sleeve is already falling off. Maybe I just got a dud."
"38","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on July 30, 2022","0","False","True","Exelente calidad del producto vendedor garantizado","Exelente calidad del producto vendedor garantizado"
"39","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on June 7, 2022","0","False","True","Half snap pullover","This pullover exceeded my expectations in every way."
"40","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on January 2, 2023","2","False","True","Cheaply made.","Loved the price of this pullover; however, it was returned due to the brown on the collar and the brown on the piping did not match. It appeared to be very cheaply made."
"41","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on January 27, 2023","One","True","True","Very nice, but quality is questionable","Play Video
Purchased on Dec 9th and the piping is coming off already. Shame because it’s a decent sweater. Hopefully the other one holds up better"
"42","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on April 6, 2022","0","False","True","Perfect gift","Brother enjoyed this gift..."
"43","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on January 7, 2023","2","True","True","Poorly made","Comfortable and fit well, but the lining on the end of the sleeve came apart after only one wash."
"44","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on January 17, 2023","One","False","True","Awesome until it wasn’t","Really liked it. The style, the fit BUT after 1 wash, the stitching fell apart."
"45","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on December 9, 2022","One","False","True","Front placket and trim don’t match","Bought this as a Christmas present. Returning it because (1) it must have been a previous return as it came balled up in the bag. (2) I ordered the black fleece and unfortunately the front placard is a different color than the trim along the collar and the bottom therefore making it look cheaply made."
"46","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on January 28, 2023","2","False","True","Sent a boy’s garment when men’s was ordered","My “Men’s X-small” is really a boy’s “10-12 Husky.” I had been wondering why the arms were so short, so I finally checked the label. I am very displeased with the garment and how comical its short arms look on me."
"47","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on February 26, 2023","4","True","True","Poor quality","Very comfortable but unfortunately the quality is very poor. The trim on sleeve is falling off after the first wash. Very unsatisfied with this purchase. I do not recommend this item."
"48","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on February 18, 2023","2","False","True","Already ripped","My husband only wore this about 5 times and the cuff on the sleeve already ripped so he can no longer wear it"
"49","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on February 11, 2023","3","True","True","Trim detached from sleeve","I purchased this pullover for my husband for Christmas. The brown trim at the bottom of each sleeve has already detached."
"50","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on March 19, 2023","2","True","True","Bad quality. Seams rip after two washes","Itchy material. Stitching is also sub par and rips after second or third wash. Would not recommend."
"51","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on December 24, 2022","0","False","True","Bad fit","This is not sized correctly and it’s very stat-icy."
"52","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on January 16, 2023","0","False","True","Poor quality","It’s really cute but poor quality material"
"53","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on March 13, 2023","3","False","True","Sleeve tore third time washing","Poor material"
"54","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 25, 2023","0","False","False","Love it","I love this,it looks great. Wearing a polo shirt underneath it. A very nice fit!"
"55","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on January 18, 2022","0","True","False","Warm and comfortable, solid value","This fleece is better than I expected - more heft to it than some thinner options, and I would class it as a solid midweight fleece, perfectly adequate for short trips on 30/40 degree dry days, with a thin t-shirt underneath. It’s a soft polyester, well put together with no flaws that I could find, and made in Vietnam. The sizing is pretty much spot on, I’m 6ft/180 lb and the XL is a good fit, generous enough without being baggy, except perhaps in the kangaroo pocket area where it does seem to flare out a little at the waist, but it’s manageable. I’m a big fan of the kangaroo pocket and this one is deep enough to stash a lot of stuff. The waistband and cuffs are finished in the same lighter color as the neck - though the elasticated cuff is a bit tighter than expected and it made it difficult to pull the sleeve up.

Just a couple of small drawbacks to note - the fleece is a magnet for cat hair, dust and other small debris around the house, especially in the darker colors, but that’s probably true of a lot of fleece material. Also, I wish the tag was printed on, the sewn-on one sometimes irritates my neck. But I can’t really complain - at only $20 for a fleece jacket this is a steal."
"56","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on January 6, 2022","0","True","False","Go size up, very comfortable","So first of all go size up because my husband typically is Large but he wanted this pullover in XL so he can wear it on top of the undershirt and button up shirt. So XL ended up being perfect fit. Now stitching inside the front pocket just a bit weak it didn’t rip but if you relax you hands in there potentially it might because we heard that pulling tread sound so might not want to put much weight in there. You absolutely should wash it before wearing it because material left little lints on button up shirt the first time. It’s really warm and overall quality is outstanding just need with minor pocket concern. My husband wears it to work now and it keeps him warm and it’s professional enough in his field of work."
"57","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 29, 2021","0","False","False","Excellent Fit & Quality","My husband is 6’, 155LBS, slim/fit with long arms & a long torso. This pullover in size Large fits him great (his usual size in tops). The arms are plenty long (that is unusal), the torso is long enough & it is not sloppy baggy around the middle. It has a comfortably loose fit – he really likes it. He prefers snaps to a zipper so that is another plus.

The sleeve measure 27” from the top of the shoulder seam to end of wrist.
The length from the top of the shoulder to bottom of the pullover is 29”.

The fleece is a light/medium weight, super soft & really good quality. Perfect for cold weather & active sports in the snow (with a jacket over).

I machine washed in warm water & hung to dry. It comes out perfect."
"58","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 3, 2022","2","True","False","Great Style With Stand-up Camel Collar Outline","The Camel Collar and matching hem outlines really caught my eyes and stood out so elegantly to me. Love the stand-up collar as well as the snap buttons, very easy to snap in or out. The Camel fabric is like faux leather or some synthetic leather material, soft and smooth. I did wash it and tumble dried as usual without any issues or damages to the fabric. There was no running color, just some very faint residue color but was clear after the first rinse. No shrinkage also. the Polyester fleece is somewhat quick to dry as well. This size L fits me just fine, not too long or too small so there was no need to size up at all, just as my usual size L. I guess the only minor issue is the initial odor when opening the bag, maybe it's just a one-off from the colors and yours should be fine. After the first wash, everything was fine so not a big problem really. Overall, I really like this pullover with the Kangaroo pocket style. Very comfortable to wear, warm and looks really nice."
"59","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on December 30, 2021","0","False","False","Warm and comfortable","I like the pull over, it is simple and comfortable. I can lounge and wear it or wear it outdoors in different weather. It is a bit short, but not terribly short. The size is pretty accurate, but I probably should've ordered a size up for a looser and oversized look. Overall, I feel good wearing it and it keeps me warm and cozy, that's all it matters."
"60","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on January 7, 2022","0","False","False","Nice","Maybe just a little snug for the size listed, but not at all small or tight. Nice product."
"61","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 31, 2021","0","False","False","Super soft and very comfortable","Amazon Essentials Men's Snap-Front Pullover Polar Fleece Jacket

I am tall with long arms, and find that men's sweaters and fleece fit me better than women's because the lengths are better. This is a soft fleece that is very cozy on crisp winter days. The pockets are deep enough to hold my hands comfortably and the length of the body is perfect on me (I'm 5'8""). The navy/light blue contrast is sharp looking. I have to unsnap the top two buttons to take it on and off easily, but when it is on and snapped up it is very comfortable on my neck and not at all restrictive."
"62","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 30, 2021","0","False","False","Really nice","This is a really nice pullover fleece. Front pocket makes it more casual. Material is excellent, super soft, and feels comfortable.

Fits as expected - slightly snug around the shoulders but otherwise good fit.

Not the greatest of color combinations offered, so I settled on navy. Buttons feel and look great. Easy to pair or wear underneath a jacket in colder weather. Recommended. Reasonable price as well."
"63","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 17, 2022","0","False","False","Super cozy-my boyfriend and I are obsessed!","This is a super cozy and well made fleece. I love the snap details and the brown details. The fit is TTS and it is warm. I got it for my boyfriend but it's quickly become a shared item because I LOVE it so much. Super duper cozy. I would love to get another for him in a different color...especially since I've been living in this one...oops :)"
"64","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 8, 2022","10","False","False","Nice Styling ... Close in Style to Ptagnia","Video shows this fleece on and should give you a sense of how it fits and looks. Cool styling yet understated and simple. The weight is in the middle so not too thick ... nice fleece with a loose bottom."
"65","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 1, 2022","0","False","False","Really warm and comfortable.","Really comfortable and warm. Wore it outside in 40-degree weather with a T-shirt under and it kept me perfectly comfortable.

The pullover breathes really well and is very warm.

The fit was on point. I'm 6' 230 athletic builds and it was just right. The only negative was the length, it's an inch or two too long.

At this price point the fleece is unbeatable as it provides extreme comfort and warth."
"66","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 3, 2022","0","False","False","Warm, comfortable, casual","Got this for my husband - who is 6’1 220ish

It’s warm without being bulky, and soft- so he’s extra huggable :)

Sleeves plenty long- but he has a long torso and would have like to have this a little longer.

Recommend - looks nice!"
"67","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 31, 2021","0","False","False","Nice sweater/jacket","Outdoorsy and good looking. Pretty nice quality and soft for the price. The contrasting colors are nice touch. Overall a nice garment regardless of the price, which is a bonus."
"68","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","1","Reviewed in the United States on February 16, 2022","0","False","False","WONKY FIT","This is very warm, just didn't fit quite right. I'm medium, 5'11', 42 shoulder, 155lb & the medium was snug so I couldn't wear anything under. I suspect the LG will be too big."
"69","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on June 11, 2022","0","False","False","Really poor quality fleece or whatever the material of the","Low quality. Got it super low price/deal. Was going to return before (and still) have never worn.

My laziness, forgot for months. So have it but couldn't recommend"
"70","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 3, 2023","0","False","True","Husband and brother love it","I ordered these for gifts for my husband and brother. They both love them. My husband has a very similar looking Carhartt and these are a great dupe. My husband has worn his on multiple occasions and the quality holds up in the wash."
"71","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on December 26, 2021","One","False","True","1 star deducted because sizes run smaller","Nice pullover, order a size larger"
"72","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on August 12, 2022","0","False","True","The product is very good for the price","We haven't worn it yet, we bought it for the winter, but we tried it. It looks nice and keeps warm. The product quality is very good for the price."
"73","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 24, 2023","0","False","True","Great quality","I am a 5'6"" female and ordered a size medium for myself. The quality was great. I've washed ot quite a few times and haven't had any picking yet. I would highly recommend this sweater."
"74","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 24, 2023","0","False","True","Fits nice","Good fitting sweater for a low price."
"75","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 7, 2023","0","False","True","Soft and warm.","This is perfect for cooler weather. It's super soft and comfortable."
"76","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on November 16, 2022","0","False","True","Looks really nice on","Looks really nice on and was warm/comfortable."
"77","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 11, 2022","0","False","True","GIFT","GIFT"
"78","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 29, 2021","0","False","True","Nice pullover","Really liked this pullover"
"79","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 16, 2023","0","False","True","Good quality","Light comfy sweater"
"80","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 26, 2023","0","False","True","perfect mid-layer.","Bought as a mid-layer for cold Maine outdoor activities. It's a winner!
Fit is great, the snap buttons are an appreciated feature. The kangaroo pocket is a roomy and definite plus!
great product, great price."
"81","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 22, 2021","One","False","True","The Thing About Fleece","Anything and everything sticks to it, pet hair, etc.
Otherwise, like it alot. True to size. Warm."
